time_key,grammy_year,grammy_published_at,grammy_updated_at
1,2009.0,2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00
2,2017.0,2018-05-22T03:08:24-07:00,2019-09-10T01:06:11-07:00
3,2019.0,2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00
4,1984.0,2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00
5,2002.0,2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00
6,2007.0,2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00
7,1979.0,2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00
8,2016.0,2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00
9,1992.0,2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00
10,2010.0,2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00
11,2003.0,2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00
12,1991.0,2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00
13,1995.0,2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00
14,1973.0,2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00
15,2000.0,2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00
16,1978.0,2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00
17,2011.0,2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00
18,2013.0,2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00
19,2006.0,2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00
20,2005.0,2017-11-28T00:03:45-08:00,2017-11-28T00:03:45-08:00
21,2008.0,2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00
22,1980.0,2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00
23,1999.0,2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00
24,2004.0,2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00
25,1983.0,2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00
